BHID,From,To,X,Y,Z,surface,series,id,order_series
BH1,184,185,582682.34,3639203.55,1986.0,rock1,series2,2,2
BH1,185,186,582682.34,3639203.55,1987.0,rock1,series2,2,2
BH1,186,187,582682.34,3639203.55,1988.0,rock1,series2,2,2
BH1,187,188,582682.34,3639203.55,1989.0,rock1,series2,2,2
BH1,188,189,582682.34,3639203.55,1990.0,rock1,series2,2,2
BH1,189,190,582682.34,3639203.55,1991.0,rock1,series2,2,2
BH1,190,191,582682.34,3639203.55,1992.0,rock1,series2,2,2
BH1,191,192,582682.34,3639203.55,1993.0,rock1,series2,2,2
BH1,192,193,582682.34,3639203.55,1994.0,rock1,series2,2,2
BH1,193,194,582682.34,3639203.55,1995.0,rock1,series2,2,2
BH1,194,195,582682.34,3639203.55,1996.0,rock1,series2,2,2
BH1,195,196,582682.34,3639203.55,1997.0,rock1,series2,2,2
BH1,196,197,582682.34,3639203.55,1998.0,rock1,series2,2,2
BH1,197,198,582682.34,3639203.55,1999.0,rock1,series2,2,2
BH1,198,199,582682.34,3639203.55,2000.0,rock1,series2,2,2
BH1,199,200,582682.34,3639203.55,2001.0,rock1,series2,2,2
BH1,200,201,582682.34,3639203.55,2002.0,rock1,series2,2,2
BH1,201,202,582682.34,3639203.55,2003.0,rock1,series2,2,2
BH1,202,203,582682.34,3639203.55,2004.0,rock1,series2,2,2
BH1,203,204,582682.34,3639203.55,2005.0,rock1,series2,2,2
BH1,204,205,582682.34,3639203.55,2006.0,rock1,series2,2,2
BH1,205,206,582682.34,3639203.55,2007.0,rock1,series2,2,2
BH1,206,207,582682.34,3639203.55,2008.0,rock1,series2,2,2
BH1,207,208,582682.34,3639203.55,2009.0,rock1,series2,2,2
BH1,208,209,582682.34,3639203.55,2010.0,rock1,series2,2,2
BH1,209,210,582682.34,3639203.55,2011.0,rock1,series2,2,2
BH1,210,211,582682.34,3639203.55,2012.0,rock1,series2,2,2
BH1,211,212,582682.34,3639203.55,2013.0,rock1,series2,2,2
BH1,212,213,582682.34,3639203.55,2014.0,rock1,series2,2,2
BH1,213,214,582682.34,3639203.55,2015.0,rock1,series2,2,2
BH1,214,215,582682.34,3639203.55,2016.0,rock1,series2,2,2
BH1,215,216,582682.34,3639203.55,2017.0,rock1,series2,2,2
BH1,216,217,582682.34,3639203.55,2018.0,rock1,series2,2,2
BH1,217,218,582682.34,3639203.55,2019.0,rock1,series2,2,2
BH1,218,219,582682.34,3639203.55,2020.0,rock1,series2,2,2
BH1,219,220,582682.34,3639203.55,2021.0,rock1,series2,2,2
BH1,220,221,582682.34,3639203.55,2022.0,rock1,series2,2,2
BH1,221,222,582682.34,3639203.55,2023.0,rock1,series2,2,2
BH1,222,223,582682.34,3639203.55,2024.0,rock1,series2,2,2
BH1,223,224,582682.34,3639203.55,2025.0,rock1,series2,2,2
BH1,224,225,582682.34,3639203.55,2026.0,rock1,series2,2,2
BH1,225,226,582682.34,3639203.55,2027.0,rock1,series2,2,2
BH1,226,227,582682.34,3639203.55,2028.0,rock1,series2,2,2
BH1,227,228,582682.34,3639203.55,2029.0,rock1,series2,2,2
BH1,228,229,582682.34,3639203.55,2030.0,rock1,series2,2,2
BH1,229,230,582682.34,3639203.55,2031.0,rock1,series2,2,2
BH1,230,231,582682.34,3639203.55,2032.0,rock1,series2,2,2
BH1,231,232,582682.34,3639203.55,2033.0,rock1,series2,2,2
BH1,232,233,582682.34,3639203.55,2034.0,rock1,series2,2,2
BH1,233,234,582682.34,3639203.55,2035.0,rock1,series2,2,2
BH1,234,235,582682.34,3639203.55,2036.0,rock1,series2,2,2
BH1,235,236,582682.34,3639203.55,2037.0,rock1,series2,2,2
BH1,236,237,582682.34,3639203.55,2038.0,rock1,series2,2,2
BH1,237,238,582682.34,3639203.55,2039.0,rock1,series2,2,2
BH1,238,239,582682.34,3639203.55,2040.0,rock1,series2,2,2
BH1,239,240,582682.34,3639203.55,2041.0,rock1,series2,2,2
BH1,240,241,582682.34,3639203.55,2042.0,rock1,series2,2,2
BH1,241,242,582682.34,3639203.55,2043.0,rock1,series2,2,2
BH1,242,243,582682.34,3639203.55,2044.0,rock1,series2,2,2
BH1,243,244,582682.34,3639203.55,2045.0,rock1,series2,2,2
BH1,244,245,582682.34,3639203.55,2046.0,rock1,series2,2,2
BH1,245,246,582682.34,3639203.55,2047.0,rock1,series2,2,2
BH1,246,247,582682.34,3639203.55,2048.0,rock1,series2,2,2
BH1,247,248,582682.34,3639203.55,2049.0,rock1,series2,2,2
