BHID,From,To,Rock Type/ Alterations,Symbol,Rtype,Description,
BH1,207,208,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,208,209,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,209,210,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,210,211,Basalt,B-Ja,7,Light grenish grey to redish hydrothermally altered basalt containing jasperite,
BH1,211,212,Basalt,B-Ja,7,Light grenish grey to redish hydrothermally altered basalt containing jasperite,
BH1,212,213,Basalt,B-Ja,7,Light grenish grey to redish hydrothermally altered basalt containing jasperite,
BH1,213,214,Basalt,B-Ja,7,Light grenish grey to redish hydrothermally altered basalt containing jasperite,
BH1,214,215,Basalt,B-Ja,7,Light grenish grey to redish hydrothermally altered basalt containing jasperite,
BH1,215,216,Basalt,B-Ja,7,Light grenish grey to redish hydrothermally altered basalt containing jasperite,
BH1,216,217,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,217,218,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,218,219,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,219,220,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,220,221,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,221,222,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,222,223,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,223,224,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,224,225,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,225,226,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,226,227,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,227,228,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,228,229,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,229,230,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,230,231,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,231,232,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,232,233,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,233,234,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,234,235,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,235,236,Basalt,B-Ja,7,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,236,237,Basalt,B-Ja,7,Light grenish grey to redish grey  fractured and fragmentedhydrothermally altered basalt containing jasperite,
BH1,237,238,Basalt,B-Ja,7,Light grenish grey to redish grey  fractured and fragmentedhydrothermally altered basalt containing jasperite,
BH1,238,239,Basalt,B-Ja,7,Light grenish grey to redish grey  fractured and fragmentedhydrothermally altered basalt containing jasperite,
BH1,239,240,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,240,241,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,241,242,Basalt,B-Ja,7,Light grenish grey to redish grey hydrothermally altered basalt containing jasperite,
BH1,242,243,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,243,244,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,244,245,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,245,246,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,246,247,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,247,248,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,248,249,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,249,250,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,250,251,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,251,252,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,252,253,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,253,254,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH2,0,1,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,1,2,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,2,3,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,3,4,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,4,5,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,5,6,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,6,7,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,7,8,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,8,9,Basalt,B-S,3,Dark greenish grey fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,9,10,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
